leader_name,cluster
AhmadalMansur,3
Alexander,1
Ashurbanipal,2
Askia,2
Attila,2
Augustus,1
Bismark,1
Boudicca,2
Casimir,0
Catherine,1
Darius,4
Dido,2
Elizabeth,0
EnricoDandolo,4
GajahMada,4
Gandhi,3
GenghisKhan,2
Gustavus,0
Harald,2
HarunAlRashid,4
Hiawatha,0
Isabella,2
Kamehameha,0
Maria,0
MariaI,0
Montezuma,2
Napoleon,1
Nebuchadnezzar,4
OdaNobunaga,1
Pacal,4
Pachacuti,4
Pedro,3
Pocatello,3
Ramesses,4
Ramkhamhaeng,3
Sejong,4
Selassie,3
Shaka,2
Suleiman,1
Theodora,4
Washington,0
William,0
WuZetian,4
