leader_name,sentiment_score,dominant_archetype,archetype_confidence,n_mentions,total_weight,low_confidence
AhmadalMansur,0.7165790620613338,peaceful,0.4331581241226676,8,10.584962500721156,False
Alexander,-0.889849201717758,warmonger,0.35248255450317423,37,45.39231742277876,False
Ashurbanipal,-0.6,warmonger,0.6,5,5.0,False
Askia,-0.375,warmonger,0.375,8,8.0,False
Attila,-0.6875,warmonger,0.9375,16,16.0,False
Augustus,-0.6,warmonger,0.5,10,10.0,False
Bismark,-0.3333333333333333,warmonger,0.3333333333333333,9,9.0,False
Boudicca,0.0,religious,0.42857142857142855,7,7.0,False
Casimir,-0.3011035284666664,city_spammer,0.417586273722222,6,8.584962500721156,False
Catherine,-0.33868447814311214,city_spammer,0.4331581241226676,8,10.584962500721156,False
Darius,-0.75,city_spammer,0.25,4,4.0,True
Dido,-0.6666666666666666,backstabber,0.6666666666666666,7,9.0,False
Elizabeth,-0.8888888888888888,unpredictable,0.3333333333333333,8,9.0,False
EnricoDandolo,-0.7218711606384904,diplomatic,0.744957940231676,11,17.977279923499918,False
GajahMada,-1.0,backstabber,0.6666666666666666,3,3.0,True
Gandhi,-0.12994578273618432,peaceful,0.4081236376143797,16,18.584962500721154,False
GenghisKhan,-0.5,warmonger,0.875,16,16.0,False
Gustavus,0.0,diplomatic,0.5,6,6.0,False
Harald,-0.4,warmonger,0.6,4,5.0,True
HarunAlRashid,-0.4331581241226676,city_spammer,0.4331581241226676,8,10.584962500721156,False
Hiawatha,-0.9036371553547798,city_spammer,0.6145486214191193,14,20.75488750216347,False
Isabella,-0.8,religious,0.6,4,5.0,True
Kamehameha,-0.3333333333333333,expansionist,0.6666666666666666,6,6.0,False
Maria,-0.625,diplomatic,0.5,8,8.0,False
Montezuma,-0.6428571428571429,warmonger,1.0,14,14.0,False
Napoleon,-0.5454545454545454,warmonger,0.5454545454545454,11,11.0,False
Nebuchadnezzar,-0.3333333333333333,peaceful,0.6666666666666666,6,6.0,False
OdaNobunaga,-0.5,warmonger,1.0,6,6.0,False
Pacal,-0.4,wonder_builder,0.8,5,5.0,False
Pachacuti,-0.3333333333333333,backstabber,0.3333333333333333,3,3.0,True
Pedro,0.8835172547444444,peaceful,0.5340690189777776,6,8.584962500721156,False
Pocatello,-0.09090909090909091,expansionist,0.7272727272727273,10,11.0,False
Ramesses,-0.25,wonder_builder,0.875,8,8.0,False
Ramkhamhaeng,-0.8252758821166666,expansionist,0.35934490109444417,13,17.169925001442312,False
Sejong,-0.42857142857142855,peaceful,0.42857142857142855,6,7.0,False
Selassie,-0.6547248210988165,religious,0.5684060263735206,9,11.584962500721156,False
Shaka,-0.4,warmonger,0.8,34,35.0,False
Suleiman,0.0,warmonger,0.38752449767415764,8,10.321928094887362,False
Theodora,-0.25,religious,0.5,7,8.0,False
Washington,0.0,backstabber,0.4331581241226676,8,10.584962500721156,False
William,0.16666666666666666,diplomatic,0.6666666666666666,6,6.0,False
WuZetian,-0.16666666666666666,warmonger,0.3333333333333333,6,6.0,False
